_id,nombre1,nombre2,apellido1,apellido2,genero,edad,fecha_nacimiento,curp,id,voto,email,password
6565165b32e56784f056349a,Albert,,Espinosa,Sebastian,Hombre,25,1998-01-07,ESSA980107HOMBREDFES33O,1,1,albertespinosa1@urcmac.edu.mx,espinosaalbert1
6565165c32e56784f056349b,Albert,Donaji,Hidalgo,Cirigo,Hombre,23,2000-01-07,HICA000107HOMBREDFHI86C,2,4,alberthidalgo2@urcmac.edu.mx,hidalgoalbert2
6565165c32e56784f056349c,Juan ,Rogelio,Hidalgo,Sanchez,Hombre,25,1998-01-07,HISJ980107HOMBREDFHI79P,3,2,juan hidalgo3@urcmac.edu.mx,hidalgojuan 3
6565165c32e56784f056349d,Demian,Donaji,Adaya,Romero,Hombre,25,1998-01-07,ADRD980107HOMBREDFAD21F,4,3,demianadaya4@urcmac.edu.mx,adayademian4
6565165c32e56784f056349e,Demian,Pablo,Hidalgo,Romero,Hombre,22,2001-01-06,HIRD010106HOMBREDFHI53P,5,4,demianhidalgo5@urcmac.edu.mx,hidalgodemian5
6565165c32e56784f056349f,Hector,Rogelio,Ruiz,Cirigo,Hombre,25,1998-01-07,RUCH980107HOMBREDFRU25O,6,1,hectorruiz6@urcmac.edu.mx,ruizhector6
6565165c32e56784f05634a0,Jose,Rogelio,Hidalgo,Martinez,Hombre,26,1997-01-07,HIMJ970107HOMBREDFHI73H,7,5,josehidalgo7@urcmac.edu.mx,hidalgojose7
6565165c32e56784f05634a1,Albert,Alfonso,Ruiz,Cirigo,Hombre,24,1999-01-07,RUCA990107HOMBREDFRU74M,8,3,albertruiz8@urcmac.edu.mx,ruizalbert8
6565165d32e56784f05634a2,Demian,,Adaya,Romero,Hombre,22,2001-01-06,ADRD010106HOMBREDFAD31J,9,1,demianadaya9@urcmac.edu.mx,adayademian9
6565165d32e56784f05634a3,Juan ,Alfonso,Zarate,Martinez,Hombre,25,1998-01-07,ZAMJ980107HOMBREDFZA66H,10,2,juan zarate10@urcmac.edu.mx,zaratejuan 10
6565165d32e56784f05634a4,Juan ,,Adaya,Sanchez,Hombre,25,1998-01-07,ADSJ980107HOMBREDFAD76J,11,1,juan adaya11@urcmac.edu.mx,adayajuan 11
6565165d32e56784f05634a5,Juan ,Alfonso,Espinosa,Martinez,Hombre,28,1995-01-08,ESMJ950108HOMBREDFES22W,12,1,juan espinosa12@urcmac.edu.mx,espinosajuan 12
6565165d32e56784f05634a6,Juan ,Alfonso,Adaya,Cirigo,Hombre,21,2002-01-06,ADCJ020106HOMBREDFAD51P,13,4,juan adaya13@urcmac.edu.mx,adayajuan 13
6565165d32e56784f05634a7,Demian,Alfonso,Ruiz,Sebastian,Hombre,22,2001-01-06,RUSD010106HOMBREDFRU31I,14,5,demianruiz14@urcmac.edu.mx,ruizdemian14
6565165d32e56784f05634a8,Demian,Alfonso,Adaya,Romero,Hombre,29,1994-01-08,ADRD940108HOMBREDFAD25H,15,4,demianadaya15@urcmac.edu.mx,adayademian15
6565165d32e56784f05634a9,Hector,Pablo,Zarate,Cirigo,Hombre,30,1993-01-08,ZACH930108HOMBREDFZA34S,16,5,hectorzarate16@urcmac.edu.mx,zaratehector16
6565165d32e56784f05634aa,Hector,Pablo,Ruiz,Romero,Hombre,29,1994-01-08,RURH940108HOMBREDFRU24Q,17,3,hectorruiz17@urcmac.edu.mx,ruizhector17
6565165d32e56784f05634ab,Hector,Donaji,Ruiz,Romero,Hombre,21,2002-01-06,RURH020106HOMBREDFRU71G,18,5,hectorruiz18@urcmac.edu.mx,ruizhector18
6565165d32e56784f05634ac,Jose,,Adaya,Martinez,Hombre,25,1998-01-07,ADMJ980107HOMBREDFAD17Q,19,1,joseadaya19@urcmac.edu.mx,adayajose19
6565165d32e56784f05634ad,Jose,Alfonso,Adaya,Romero,Hombre,22,2001-01-06,ADRJ010106HOMBREDFAD49F,20,4,joseadaya20@urcmac.edu.mx,adayajose20
6565165d32e56784f05634ae,Juan ,Pablo,Ruiz,Sanchez,Hombre,30,1993-01-08,RUSJ930108HOMBREDFRU91P,21,4,juan ruiz21@urcmac.edu.mx,ruizjuan 21
6565165d32e56784f05634af,Jose,,Zarate,Romero,Hombre,24,1999-01-07,ZARJ990107HOMBREDFZA48Q,22,4,josezarate22@urcmac.edu.mx,zaratejose22
6565165e32e56784f05634b0,Jose,,Espinosa,Romero,Hombre,30,1993-01-08,ESRJ930108HOMBREDFES44O,23,4,joseespinosa23@urcmac.edu.mx,espinosajose23
6565165e32e56784f05634b1,Hector,Pablo,Espinosa,Martinez,Hombre,27,1996-01-08,ESMH960108HOMBREDFES91U,24,2,hectorespinosa24@urcmac.edu.mx,espinosahector24
6565165e32e56784f05634b2,Jose,Pablo,Ruiz,Martinez,Hombre,20,2003-01-06,RUMJ030106HOMBREDFRU71B,25,3,joseruiz25@urcmac.edu.mx,ruizjose25
6565165e32e56784f05634b3,Hector,Donaji,Espinosa,Martinez,Hombre,29,1994-01-08,ESMH940108HOMBREDFES47Z,26,3,hectorespinosa26@urcmac.edu.mx,espinosahector26
6565165e32e56784f05634b4,Hector,Donaji,Adaya,Cirigo,Hombre,30,1993-01-08,ADCH930108HOMBREDFAD19M,27,2,hectoradaya27@urcmac.edu.mx,adayahector27
6565165e32e56784f05634b5,Hector,Pablo,Hidalgo,Cirigo,Hombre,21,2002-01-06,HICH020106HOMBREDFHI43X,28,1,hectorhidalgo28@urcmac.edu.mx,hidalgohector28
6565165e32e56784f05634b6,Albert,,Hidalgo,Romero,Hombre,20,2003-01-06,HIRA030106HOMBREDFHI22R,29,1,alberthidalgo29@urcmac.edu.mx,hidalgoalbert29
6565165e32e56784f05634b7,Demian,Rogelio,Zarate,Cirigo,Hombre,30,1993-01-08,ZACD930108HOMBREDFZA87U,30,5,demianzarate30@urcmac.edu.mx,zaratedemian30
6565165e32e56784f05634b8,Jose,Rogelio,Zarate,Martinez,Hombre,24,1999-01-07,ZAMJ990107HOMBREDFZA82L,31,2,josezarate31@urcmac.edu.mx,zaratejose31
6565165e32e56784f05634b9,Albert,Alfonso,Adaya,Martinez,Hombre,20,2003-01-06,ADMA030106HOMBREDFAD61K,32,5,albertadaya32@urcmac.edu.mx,adayaalbert32
6565165e32e56784f05634ba,Demian,Rogelio,Ruiz,Romero,Hombre,28,1995-01-08,RURD950108HOMBREDFRU30V,33,1,demianruiz33@urcmac.edu.mx,ruizdemian33
6565165e32e56784f05634bb,Hector,Rogelio,Hidalgo,Martinez,Hombre,28,1995-01-08,HIMH950108HOMBREDFHI72Q,34,3,hectorhidalgo34@urcmac.edu.mx,hidalgohector34
6565165e32e56784f05634bc,Albert,Pablo,Adaya,Sebastian,Hombre,28,1995-01-08,ADSA950108HOMBREDFAD80O,35,2,albertadaya35@urcmac.edu.mx,adayaalbert35
6565165f32e56784f05634bd,Demian,Rogelio,Espinosa,Cirigo,Hombre,25,1998-01-07,ESCD980107HOMBREDFES98X,36,1,demianespinosa36@urcmac.edu.mx,espinosademian36
6565165f32e56784f05634be,Jose,Pablo,Adaya,Sanchez,Hombre,26,1997-01-07,ADSJ970107HOMBREDFAD37M,37,4,joseadaya37@urcmac.edu.mx,adayajose37
6565165f32e56784f05634bf,Albert,Rogelio,Zarate,Sanchez,Hombre,22,2001-01-06,ZASA010106HOMBREDFZA57Z,38,3,albertzarate38@urcmac.edu.mx,zaratealbert38
6565165f32e56784f05634c0,Demian,Pablo,Adaya,Martinez,Hombre,29,1994-01-08,ADMD940108HOMBREDFAD84B,39,4,demianadaya39@urcmac.edu.mx,adayademian39
6565165f32e56784f05634c1,Albert,Donaji,Zarate,Cirigo,Hombre,26,1997-01-07,ZACA970107HOMBREDFZA50S,40,3,albertzarate40@urcmac.edu.mx,zaratealbert40
6565165f32e56784f05634c2,Juan ,Rogelio,Zarate,Sanchez,Hombre,29,1994-01-08,ZASJ940108HOMBREDFZA76P,41,3,juan zarate41@urcmac.edu.mx,zaratejuan 41
6565165f32e56784f05634c3,Albert,Donaji,Ruiz,Romero,Hombre,21,2002-01-06,RURA020106HOMBREDFRU94X,42,4,albertruiz42@urcmac.edu.mx,ruizalbert42
6565165f32e56784f05634c4,Albert,Rogelio,Espinosa,Sanchez,Hombre,20,2003-01-06,ESSA030106HOMBREDFES10J,43,5,albertespinosa43@urcmac.edu.mx,espinosaalbert43
6565165f32e56784f05634c5,Albert,,Ruiz,Cirigo,Hombre,28,1995-01-08,RUCA950108HOMBREDFRU71Q,44,2,albertruiz44@urcmac.edu.mx,ruizalbert44
6565165f32e56784f05634c6,Albert,Donaji,Espinosa,Cirigo,Hombre,26,1997-01-07,ESCA970107HOMBREDFES81C,45,5,albertespinosa45@urcmac.edu.mx,espinosaalbert45
6565165f32e56784f05634c7,Juan ,Rogelio,Espinosa,Sanchez,Hombre,28,1995-01-08,ESSJ950108HOMBREDFES35M,46,2,juan espinosa46@urcmac.edu.mx,espinosajuan 46
6565165f32e56784f05634c8,Juan ,,Ruiz,Cirigo,Hombre,22,2001-01-06,RUCJ010106HOMBREDFRU96P,47,1,juan ruiz47@urcmac.edu.mx,ruizjuan 47
6565165f32e56784f05634c9,Juan ,Donaji,Ruiz,Sebastian,Hombre,28,1995-01-08,RUSJ950108HOMBREDFRU63Y,48,2,juan ruiz48@urcmac.edu.mx,ruizjuan 48
6565165f32e56784f05634ca,Hector,,Adaya,Martinez,Hombre,24,1999-01-07,ADMH990107HOMBREDFAD24N,49,5,hectoradaya49@urcmac.edu.mx,adayahector49
6565166032e56784f05634cb,Demian,,Adaya,Martinez,Hombre,30,1993-01-08,ADMD930108HOMBREDFAD57T,50,1,demianadaya50@urcmac.edu.mx,adayademian50
6565166032e56784f05634cc,Hector,,Zarate,Romero,Hombre,27,1996-01-08,ZARH960108HOMBREDFZA54W,51,5,hectorzarate51@urcmac.edu.mx,zaratehector51
6565166032e56784f05634cd,Albert,,Zarate,Sanchez,Hombre,27,1996-01-08,ZASA960108HOMBREDFZA22R,52,2,albertzarate52@urcmac.edu.mx,zaratealbert52
6565166032e56784f05634ce,Jose,Rogelio,Hidalgo,Cirigo,Hombre,25,1998-01-07,HICJ980107HOMBREDFHI79U,53,4,josehidalgo53@urcmac.edu.mx,hidalgojose53
6565166032e56784f05634cf,Juan ,,Zarate,Sanchez,Hombre,28,1995-01-08,ZASJ950108HOMBREDFZA21A,54,1,juan zarate54@urcmac.edu.mx,zaratejuan 54
6565166032e56784f05634d0,Juan ,Alfonso,Zarate,Cirigo,Hombre,24,1999-01-07,ZACJ990107HOMBREDFZA19R,55,2,juan zarate55@urcmac.edu.mx,zaratejuan 55
6565166032e56784f05634d1,Albert,,Espinosa,Sanchez,Hombre,24,1999-01-07,ESSA990107HOMBREDFES72F,56,4,albertespinosa56@urcmac.edu.mx,espinosaalbert56
6565166032e56784f05634d2,Hector,Pablo,Ruiz,Martinez,Hombre,21,2002-01-06,RUMH020106HOMBREDFRU59K,57,1,hectorruiz57@urcmac.edu.mx,ruizhector57
6565166032e56784f05634d3,Juan ,Alfonso,Ruiz,Romero,Hombre,24,1999-01-07,RURJ990107HOMBREDFRU55L,58,4,juan ruiz58@urcmac.edu.mx,ruizjuan 58
6565166032e56784f05634d4,Juan ,,Espinosa,Sebastian,Hombre,30,1993-01-08,ESSJ930108HOMBREDFES49K,59,5,juan espinosa59@urcmac.edu.mx,espinosajuan 59
